Area,Bedrooms,Bathrooms,Stories,Parking,Age,Distance_City,School_Rating,Crime_Index,Hospital_Distance,Mall_Distance,Public_Transport,Garden,Pool,Garage,Income_Area,Population_Density,Air_Quality,Property_Tax,Price
4889,6,2,2,1,47,14.78,10,9.79,10.73,6.02,2,0,1,0,67301,6379,59.29,9751,2926564
2747,1,1,3,1,40,26.12,8,1.92,0.74,6.04,8,1,1,0,146549,2183,52.82,8827,1872868
1035,4,4,1,4,40,20.75,3,2.34,11.48,6.42,4,0,1,0,121671,17623,69.45,8253,2535673
4012,3,5,1,4,47,3.43,4,6.63,5.66,2.08,4,0,0,0,20350,13886,78.57,8699,2394133
767,2,3,3,3,4,20.78,5,8.09,12.69,13.39,4,1,0,0,104886,5382,138.09,3330,1676748
988,2,3,3,3,7,14.33,5,7.3,18.88,10.26,8,1,0,0,136578,14656,115.49,5102,1910296
1248,2,5,1,2,36,1.69,3,5.23,13.2,18.36,3,1,1,0,81605,11901,73.09,6260,1947567
1817,3,4,4,2,42,28.38,9,1.33,2.22,5.42,2,1,0,1,74165,2276,44.39,6927,2978408
4121,1,2,3,4,8,27.87,8,8.93,9.95,1.06,10,0,0,1,92199,948,91.79,2527,2112658
1429,4,1,2,3,45,9.11,5,4.74,9.91,9.71,8,0,1,0,140831,17154,117.02,3236,2042977
2763,4,3,3,0,18,21.92,10,6.22,13.37,17.37,8,1,1,1,92340,18307,69.04,6272,2900823
2456,5,4,2,3,2,9.89,8,7.35,16.32,8.03,3,1,0,0,85836,19839,63.16,2644,3433479
1316,5,4,1,1,26,26.19,3,1.67,15.74,5.67,10,1,0,1,131718,17985,69.4,6188,2917909
4932,1,5,1,1,40,20.69,5,9.98,15.06,8.96,2,0,1,0,110964,10312,137.45,1753,2133558
959,3,3,3,3,9,7.7,7,6.09,15.95,3.81,2,1,0,1,139646,19608,38.61,8555,2841353
4264,3,1,4,2,43,16.62,2,4.98,7.24,11.96,7,1,1,1,46111,13105,130.93,2747,2234312
3624,5,3,3,2,1,29.35,7,3.47,11.54,13.87,1,1,1,0,99569,12044,48.47,4115,3479268
1620,6,1,1,2,50,13.5,10,4.28,3.06,18.24,6,1,0,0,37322,18175,133.94,6994,2368187
4610,3,2,3,3,18,22.52,6,8.24,9.63,1.97,4,1,1,0,123636,13429,21.81,9791,2873224
4225,3,3,4,2,6,20.41,8,1.23,17.74,11.45,10,0,0,1,139195,10402,104.4,2911,3223948
871,1,3,4,0,6,7.43,9,2.22,9.35,13.57,9,1,0,1,105841,3744,128.38,7686,2212273
768,6,3,2,3,28,28.54,6,1.89,13.87,11.12,6,0,1,1,44878,4502,143.37,8450,2399154
2237,6,5,1,0,50,10.34,3,8.08,4.5,16.68,9,0,0,0,63064,5335,122.52,1046,2455980
1685,2,5,3,1,7,20.0,1,2.19,7.49,15.87,10,1,0,0,54782,2217,36.48,7897,2451965
1431,6,1,4,3,49,11.18,10,1.98,10.32,18.94,1,1,1,0,27972,16195,130.15,7984,2627259
4516,6,4,1,0,20,18.44,2,2.14,12.67,11.91,6,1,1,1,86263,14596,32.89,2874,3834088
2261,4,4,2,3,21,24.91,7,4.74,2.35,8.82,5,1,0,1,28799,3489,128.13,2527,2671778
1291,6,3,2,4,3,17.8,9,6.06,13.57,8.51,7,0,1,1,66090,3894,95.13,4485,3118122
4450,2,1,3,4,23,3.89,5,6.17,16.24,16.98,10,0,1,0,43647,9454,111.35,6062,2264571
3375,1,2,2,4,42,12.32,3,7.67,19.45,2.29,9,0,1,1,79460,11670,40.46,6105,1865022
1195,1,2,2,4,3,20.38,5,4.99,8.77,12.34,7,1,0,0,65242,14587,34.42,8972,1813075
3026,1,2,4,4,3,0.73,5,9.51,15.46,15.4,5,1,0,0,85193,14611,42.84,7229,2602516
2385,5,5,3,0,25,25.92,1,4.93,9.47,2.02,6,1,1,1,57947,4274,72.65,6321,2848967
4269,6,3,1,3,6,7.68,10,4.6,2.03,17.48,6,0,1,0,30011,17227,102.32,9693,3727433
2088,3,3,2,1,6,4.82,4,2.56,3.48,15.3,2,0,1,1,118886,18972,118.78,8354,3019970
3147,6,3,2,3,4,14.33,5,8.17,12.03,7.36,2,1,1,1,24929,2364,67.94,5703,3044404
1239,5,5,4,3,37,16.85,1,5.05,16.29,13.21,6,1,0,0,79050,3891,125.43,6626,2654372
4633,6,2,1,1,45,13.41,8,5.72,12.39,7.6,5,1,1,1,108984,2215,122.6,6482,3064556
3200,1,5,4,2,16,21.85,10,8.86,7.0,11.86,3,1,1,1,36901,19998,112.15,2388,2651898
3585,6,3,2,4,5,19.56,7,5.58,0.86,6.52,4,1,1,0,49693,5007,40.14,5846,3418215
4658,5,5,1,2,49,18.73,10,4.39,3.66,16.71,10,0,1,0,73852,12437,107.93,4891,3533797
2834,6,4,2,4,15,9.63,8,9.14,4.28,13.73,10,1,1,1,121990,13013,85.38,7859,3905778
2135,5,2,3,0,41,14.68,6,5.99,2.5,16.99,2,1,0,0,55755,15223,137.69,3414,2359933
1251,2,4,3,0,26,2.07,9,4.37,8.03,2.09,4,0,1,0,129992,11486,122.88,3254,2262880
2850,4,2,4,3,39,0.65,2,1.17,4.71,3.42,10,1,0,1,51147,10368,35.84,4906,3015684
4244,1,1,4,4,34,0.98,9,6.18,14.51,6.18,1,1,0,1,44551,3305,88.05,6908,2047797
4809,5,5,1,3,30,1.78,7,9.83,5.45,0.82,2,1,0,0,121122,19567,115.57,6447,3504203
863,3,5,3,1,49,20.7,8,6.69,16.32,1.73,8,0,1,0,25741,7036,135.15,6170,1912780
4722,4,5,4,2,2,22.72,4,3.57,17.31,1.43,6,1,0,1,77272,13607,116.63,7334,3676565
2030,4,4,3,4,17,24.13,7,1.71,12.25,16.54,9,1,1,0,30494,11245,105.92,6021,3055409
3990,2,4,3,3,2,21.94,6,6.53,8.98,12.97,1,0,1,1,87251,5742,143.86,3339,3030029
785,2,1,2,2,23,11.79,10,1.29,3.49,9.27,6,1,1,0,95225,5011,88.83,7521,1975156
2783,2,1,1,1,31,15.77,9,2.06,15.61,14.23,4,1,1,0,36074,4947,130.87,8406,1369916
4146,1,3,3,0,35,16.49,5,8.66,14.38,18.58,3,1,0,0,149123,7085,122.97,4878,2290830
715,3,5,3,3,35,4.33,2,1.59,8.26,14.48,8,1,1,0,36426,10888,103.5,8372,2658101
4738,3,2,2,1,27,15.33,1,8.48,10.6,6.43,3,1,0,1,144188,17503,136.34,2292,2401634
2108,6,5,3,1,40,9.43,9,1.84,13.0,12.04,10,0,0,1,130432,18968,25.36,1464,3675328
872,6,5,3,1,49,17.38,10,6.75,10.21,12.73,5,1,1,0,125472,13806,58.67,2195,3264051
1794,4,4,4,3,13,10.54,3,3.81,14.51,14.82,6,1,0,1,87499,18904,33.8,4960,3394567
1503,3,4,2,1,6,1.99,7,8.78,8.65,19.27,3,1,1,0,120023,5721,84.77,9433,2970426
4585,3,4,1,0,25,15.41,4,2.94,7.38,1.49,8,1,1,0,131040,4022,76.02,5333,3024987
3803,3,1,4,0,36,17.07,6,5.98,1.93,10.33,9,1,0,0,147806,3668,71.21,6555,2825750
3495,2,2,4,4,2,1.84,3,7.42,16.18,10.63,3,0,1,1,41299,13376,148.78,5902,2525600
4655,5,5,4,4,19,14.51,1,4.32,13.64,19.61,10,1,0,1,54803,19455,95.09,1841,3998155
1896,5,5,4,1,43,7.64,10,9.53,2.64,0.87,6,1,0,1,110505,7181,73.35,8726,3307248
1631,5,2,3,3,33,11.62,3,5.14,10.9,11.15,5,1,0,0,56569,18787,58.8,5876,2432171
2198,6,4,3,3,22,17.03,5,3.59,11.68,11.09,7,1,0,1,25513,9925,144.19,2294,3175595
4123,6,3,4,1,12,24.92,5,9.4,14.08,3.18,10,0,0,0,107796,17901,49.34,4814,3146655
1320,4,3,4,0,43,23.24,1,9.68,19.57,3.58,8,1,0,1,62096,9852,103.97,2465,1767523
4883,6,1,2,3,11,28.05,1,9.97,8.24,10.16,5,0,0,1,94443,4016,140.7,6489,2764580
4222,6,5,4,1,32,14.31,4,8.28,6.95,14.76,5,0,0,1,123647,10167,93.81,4164,3802669
3821,4,5,3,0,25,20.24,3,9.84,9.81,18.75,1,1,1,0,78554,9248,144.02,5947,2564344
2642,6,3,2,0,42,3.99,5,2.44,13.88,18.5,5,0,1,1,100560,7736,48.49,3188,3462583
1754,4,5,3,3,44,16.7,8,7.82,16.14,16.6,4,0,1,1,30237,18986,34.59,9972,3031331
2156,5,5,2,1,20,25.71,8,2.05,4.51,11.87,2,1,0,1,37294,17318,74.01,1945,3286937
4287,6,3,1,3,16,24.59,4,6.2,1.38,7.22,2,0,0,1,24159,9907,73.15,3218,3033586
3567,4,4,4,3,5,20.64,9,2.2,17.28,2.81,9,1,0,0,129421,613,118.3,5888,3882122
4960,4,5,4,1,15,14.09,3,3.48,18.78,14.64,2,0,1,0,51544,7252,28.75,1550,3683160
898,2,1,4,3,14,16.42,1,2.26,19.87,5.07,10,1,1,0,59552,5194,148.14,9540,1546745
3887,3,3,1,4,37,26.45,3,6.63,8.83,10.16,6,1,1,1,73511,5389,58.99,4012,2703319
4379,2,2,3,1,29,27.48,9,4.71,8.62,10.83,7,0,1,0,63288,3090,139.89,7079,1904561
4887,6,2,1,2,24,20.37,10,1.36,1.92,16.19,10,0,1,0,133963,11410,59.41,1251,3669576
2056,6,1,4,1,44,18.33,4,4.57,5.17,6.77,5,1,1,1,60425,9070,66.75,9147,2989811
1307,6,4,3,1,23,9.73,1,6.06,4.81,3.35,5,1,1,0,45715,11309,49.9,5026,3198915
3265,3,4,4,3,10,22.12,6,2.52,14.55,10.02,9,0,0,0,143887,2089,119.36,7756,3038513
2395,1,2,1,1,32,13.95,1,6.56,13.5,12.52,8,1,0,0,89758,18576,73.47,1274,1349091
2750,5,3,1,4,44,20.38,3,1.96,2.38,3.4,4,1,1,1,124193,13505,30.27,7652,3408546
2492,6,2,3,0,41,29.75,1,1.84,7.9,11.28,1,0,0,0,85517,14718,103.84,6427,2624975
1281,5,1,2,1,44,26.68,8,3.44,18.52,13.85,5,0,0,1,22052,7288,96.31,7525,1403054
2951,2,5,2,4,24,20.47,9,3.99,15.23,3.23,2,1,0,0,77290,8106,129.03,6580,2710537
3173,1,3,4,3,14,11.0,7,4.89,13.75,13.38,2,1,0,0,30752,9280,40.05,3527,2337965
3094,3,1,1,0,19,13.62,5,1.92,2.2,8.9,9,1,0,0,31746,12097,92.05,6315,1696489
601,3,4,4,0,46,27.08,4,6.15,3.81,7.92,3,1,1,1,84634,5281,28.22,8121,2257833
3949,3,4,1,2,16,28.35,8,6.34,4.31,2.59,5,0,1,1,130311,12948,124.53,6399,3073182
3242,4,5,2,2,20,18.29,4,5.31,3.96,8.27,6,1,1,0,62714,12822,56.44,7437,3156579
1432,5,2,2,4,1,28.61,8,9.49,4.59,16.05,2,1,1,0,103012,10423,51.46,3525,3011297
3588,1,4,4,4,25,16.26,7,5.89,15.92,7.51,9,0,0,0,106193,12132,41.62,1725,2948487
3773,3,4,1,0,6,8.13,9,7.72,11.38,13.91,4,1,1,1,80694,19786,109.76,3469,2931600
701,4,1,3,3,5,3.92,3,4.13,7.19,15.79,9,1,1,1,32795,14857,113.86,8412,2301826
1050,3,1,1,0,21,19.62,3,9.37,14.94,10.56,9,0,1,1,145627,15640,50.14,7636,1497154
2026,6,4,4,0,47,18.62,4,5.05,8.88,0.59,4,0,1,0,95674,3834,123.94,9796,2964887
3496,3,2,4,0,16,20.29,8,5.75,12.96,12.14,10,1,0,1,66135,15503,100.26,5873,2255704
1597,3,1,2,2,7,5.9,3,5.6,8.66,3.19,7,1,0,1,103296,18108,110.15,3838,2319485
1866,4,3,2,1,20,25.34,10,1.48,7.5,0.69,3,0,1,1,73626,16612,74.03,8272,2899440
1870,1,5,1,1,18,1.46,4,5.84,3.78,9.42,8,0,0,1,121595,18296,127.03,7010,2344728
840,6,4,2,3,6,22.21,4,3.68,19.99,9.27,6,0,1,0,121663,8264,47.28,6744,3418670
1859,5,2,2,1,3,17.32,9,3.53,11.01,6.81,5,1,1,0,37771,13987,139.44,5543,2387609
1587,2,2,3,1,48,25.38,7,5.41,11.76,5.74,7,1,1,0,103050,3550,72.37,5558,1867635
4224,4,3,1,0,46,29.18,6,8.65,16.02,8.26,7,0,1,1,62318,9792,63.91,3139,2487946
4475,3,1,1,0,40,23.62,8,1.15,18.62,3.58,8,0,1,0,110255,4822,134.68,5945,1910357
2744,1,3,3,0,23,20.1,3,1.47,12.7,14.66,4,1,0,0,20142,7493,81.98,3174,1359001
4755,6,4,1,0,44,10.64,2,9.89,8.74,3.08,2,0,1,0,115782,3856,33.42,7022,3252445
1623,4,2,2,0,33,17.12,10,6.85,9.08,14.59,3,1,1,0,31362,3792,38.2,3017,2147030
3379,4,3,2,1,17,19.52,4,5.98,12.2,12.35,1,1,0,0,118021,13336,58.42,1894,2648066
4554,4,1,2,3,40,18.02,9,9.0,0.74,7.54,6,0,1,1,67895,18403,108.78,8717,2382610
636,5,1,1,2,13,1.67,1,9.54,8.26,6.09,9,1,1,1,30803,18082,89.9,3501,1865992
1184,3,1,2,1,34,10.14,10,6.71,16.77,13.78,2,1,1,0,27589,8511,31.21,8118,1471050
4214,5,5,1,2,42,22.38,3,2.07,14.3,14.18,3,1,1,1,41884,12685,36.5,5403,3020821
740,3,4,3,4,4,8.26,10,6.65,10.17,10.46,1,1,0,1,40618,8859,120.53,2889,2577559
4668,1,1,1,1,2,14.42,7,9.28,3.99,19.23,1,1,0,1,52540,14139,139.06,6241,1553429
1138,5,3,1,4,43,27.11,3,3.01,10.56,1.4,7,0,1,1,121387,10680,62.55,8483,2336918
3522,2,3,3,4,15,14.19,10,9.75,19.96,15.63,9,0,0,0,142211,13936,23.11,9872,2916070
578,3,1,4,2,6,6.55,4,4.78,19.24,19.46,3,1,0,0,140753,8084,136.65,9515,2325712
3551,4,1,1,4,8,19.3,7,1.67,11.57,8.98,3,0,1,1,131530,10822,140.39,7438,2962819
3105,4,3,2,0,12,4.52,10,1.98,2.56,9.27,6,1,0,1,146436,7303,78.75,8591,3400451
1482,1,2,3,4,2,6.84,6,2.33,14.37,19.38,7,0,1,1,127490,6197,24.04,7625,2724449
2546,1,4,1,1,7,0.85,4,2.18,16.56,7.76,2,1,0,0,28450,6979,137.32,8265,1482164
1253,3,1,1,3,3,5.46,10,4.9,14.63,10.17,7,1,0,1,48143,6632,55.75,8307,1871862
783,5,5,2,2,31,12.65,9,5.31,2.21,7.97,7,0,0,0,149683,13033,121.65,6883,3340669
4960,4,3,3,3,17,5.8,6,6.37,1.07,16.31,5,0,1,1,120511,19636,149.95,3615,3460323
2530,6,2,3,4,50,27.56,1,7.88,18.98,11.73,7,1,0,0,51005,19915,61.34,6878,2105981
3380,5,5,2,4,12,25.18,8,5.88,3.92,1.24,1,0,0,0,89002,16162,20.09,4300,3367912
3291,6,2,3,0,1,4.86,3,7.97,17.01,17.28,2,1,1,0,64113,10388,61.94,3580,3298683
4491,6,3,2,4,44,26.74,10,8.08,4.85,11.98,3,1,1,1,36691,6323,114.75,7415,3679189
765,2,5,3,4,14,19.37,2,9.43,3.24,15.03,4,1,1,0,103386,3407,126.82,6500,2533190
593,3,2,2,0,22,8.07,2,7.48,1.44,9.05,7,0,1,1,135575,12909,65.66,7149,1800023
4427,5,2,2,3,4,24.08,1,3.65,6.71,19.06,2,1,0,1,41090,2957,91.12,2525,2870031
4454,6,1,4,1,38,26.75,3,1.48,6.96,19.5,7,1,1,1,51135,3642,26.45,9043,3092597
946,3,1,4,0,18,24.8,10,5.32,2.39,4.54,5,0,1,0,60416,13524,81.22,5341,1660883
4957,4,2,3,3,23,6.0,1,3.37,9.57,4.91,5,0,0,0,31233,11765,125.06,7782,2507398
999,4,5,4,4,43,26.07,8,6.15,5.1,6.33,7,0,0,0,144420,15214,42.47,3738,3076516
2078,2,1,4,0,43,13.34,3,8.51,5.53,18.26,2,0,1,1,92358,11186,131.36,9514,1775122
601,6,5,4,0,26,4.91,10,6.29,15.29,18.82,2,0,1,1,135067,13964,54.34,8955,4195690
4375,1,2,3,3,9,18.74,7,1.35,17.85,6.96,4,0,1,1,137575,12704,22.63,5965,2929874
2796,4,1,2,1,19,29.24,8,7.97,6.76,14.71,10,0,0,1,47707,13842,116.32,9462,1902634
960,5,2,1,2,45,15.45,3,8.02,10.72,11.59,3,0,0,0,52701,1583,79.34,6904,1471470
2744,3,4,4,0,43,1.4,6,5.4,9.2,19.23,8,1,1,0,129792,8975,117.36,2480,3029936
724,4,1,2,4,49,28.97,4,6.83,13.72,5.75,7,0,0,1,139474,4835,104.16,1138,1722008
2567,5,3,3,3,24,25.62,8,3.27,9.6,13.71,10,1,0,0,87045,12762,92.99,5631,3049212
1385,4,1,3,2,40,10.09,5,3.35,14.37,17.9,5,0,0,0,137923,2360,124.71,7620,2203510
1646,6,1,4,2,16,27.25,7,4.49,1.19,14.31,10,0,1,0,109957,18018,102.98,8794,3087809
4655,3,2,2,2,6,14.39,5,7.53,11.4,18.3,6,0,0,1,49272,10562,74.66,6428,2454450
2634,5,3,4,0,30,2.08,10,6.22,12.6,9.71,4,0,1,1,74146,2271,133.21,3470,3094470
2140,3,4,4,1,20,25.94,3,8.01,10.01,12.81,3,1,0,0,79251,9462,47.22,3762,2205118
4510,1,2,4,3,25,13.16,8,4.45,1.24,4.39,6,0,1,0,22348,635,101.47,5076,2186015
3320,3,2,1,3,32,17.87,3,1.59,1.39,19.0,8,1,1,0,64922,16562,66.7,4087,2102012
3804,1,2,2,1,13,22.16,10,5.54,2.9,14.37,1,1,1,0,97846,2071,106.06,1323,1897874
1448,4,4,4,0,35,7.96,3,2.85,13.87,0.68,7,0,1,0,74896,3937,86.51,2928,2626474
1433,1,4,2,4,12,23.45,9,9.76,7.48,8.49,3,0,1,0,110204,16250,62.98,1044,1862260
1229,1,5,4,1,5,23.5,2,7.51,2.48,5.49,4,1,1,1,80853,2141,32.98,3862,2072722
2880,3,3,4,0,6,25.61,1,1.09,3.2,13.12,6,1,1,1,135143,3545,68.44,6615,2915165
1432,4,4,4,2,24,20.85,8,8.2,13.15,16.04,2,0,0,0,33593,14132,138.46,8908,2584639
4089,2,5,4,2,39,1.35,3,5.35,10.02,17.81,8,0,0,1,105848,10796,21.61,9598,3425502
2334,6,3,1,3,42,21.94,8,4.11,13.69,8.01,9,0,0,0,86265,15877,130.74,3709,2434851
4527,3,2,3,2,3,15.45,9,6.79,8.36,5.08,8,1,1,0,132274,16833,78.12,2944,3488630
645,1,4,4,0,35,16.7,2,8.13,19.28,12.93,9,0,1,1,67624,2278,126.16,8445,1477397
4375,6,3,4,0,6,22.9,4,1.02,7.43,12.86,5,1,0,0,137555,5879,84.01,7704,3676867
2583,5,2,2,0,25,6.86,4,7.45,2.6,8.58,10,0,1,1,106305,19810,144.3,3205,2879255
535,5,1,4,4,30,27.77,3,7.23,3.89,16.4,2,1,1,1,74875,8634,55.57,6617,2486205
4209,2,2,4,4,44,26.65,9,3.69,14.18,17.28,9,0,0,0,101810,10021,109.26,3173,2319831
4627,5,3,1,2,35,14.67,10,9.48,14.35,13.65,9,1,1,0,88515,3988,23.29,3381,2998941
963,2,3,2,2,43,7.89,1,7.22,6.26,15.2,1,1,1,0,100754,18911,132.43,7371,1604002
4685,6,3,1,3,24,12.79,6,9.69,1.55,15.0,4,1,0,1,118973,19780,91.06,4218,3474557
2909,4,2,1,1,11,22.18,2,4.39,8.86,11.35,3,0,1,0,63327,15780,112.26,3536,1744526
1759,3,5,1,4,42,9.38,10,5.95,1.92,14.3,9,0,0,0,123056,17052,40.72,9897,3059234
3804,1,3,2,1,42,10.29,6,3.64,19.03,12.56,8,0,0,1,78414,8375,137.58,4994,1520397
3129,4,1,4,2,34,21.86,1,9.2,16.53,7.81,9,1,1,0,58854,6808,61.64,2349,1966709
1871,5,5,1,0,13,20.27,4,8.78,8.77,2.53,9,1,0,0,23113,15547,113.19,1620,1992783
1100,1,2,3,4,4,17.46,4,9.2,8.45,9.3,7,1,1,0,71052,4376,89.53,2036,1430905
1094,3,5,1,2,50,20.73,10,1.78,15.42,9.03,7,0,1,0,89922,7704,37.73,7406,2672866
2916,6,2,3,2,0,16.83,9,2.27,1.31,11.67,7,0,1,0,118080,11767,47.53,9397,3626762
1818,2,2,3,1,7,5.85,10,8.67,17.1,18.68,9,1,0,1,108039,2707,52.59,4234,2544605
3210,3,2,2,0,18,18.78,4,3.86,9.29,12.52,5,0,1,1,145653,14534,41.92,6131,2557759
2314,6,4,3,2,8,20.55,6,8.9,9.53,7.5,5,1,0,0,104613,3186,129.43,3293,3562999
2109,3,1,1,0,32,19.13,10,6.21,15.5,4.65,1,1,1,0,67948,13361,49.03,5767,1528803
4306,5,5,1,3,23,15.31,4,8.63,16.23,12.47,3,0,1,0,43480,19058,143.33,3395,3179657
3439,1,2,4,1,4,8.3,4,1.39,4.53,18.2,6,1,1,1,135546,2021,25.19,6309,2725271
4771,6,3,3,4,34,17.32,7,6.88,7.62,13.24,2,1,1,0,87681,13798,65.88,6653,4088539
4449,5,1,2,3,10,7.28,9,6.79,4.62,4.14,6,0,0,1,126322,11320,113.63,8889,3529841
4424,2,5,2,3,1,7.69,3,6.16,3.64,12.78,1,0,0,0,53850,6399,87.16,7642,2983552
652,6,3,1,1,28,18.39,8,8.81,3.83,16.69,10,0,0,1,41983,11728,139.91,2127,2068226
3598,4,2,1,0,12,15.92,9,7.16,16.62,12.31,3,1,0,0,32214,16302,105.72,9835,1748448
4034,5,4,3,0,44,16.13,4,9.45,9.9,15.49,6,0,1,0,53360,16134,119.56,2373,2736050
4954,4,3,2,0,45,22.44,1,6.2,2.8,0.64,4,1,1,1,33970,5571,75.39,5155,2418229
4891,4,5,3,4,17,29.76,7,7.79,8.56,15.78,8,0,1,1,53263,10548,95.09,7522,3346238
1475,6,2,4,1,6,6.83,7,8.07,16.12,12.47,1,0,1,0,125430,3484,127.02,8727,3412027
1222,1,3,2,2,5,18.47,7,9.38,8.31,13.3,5,0,0,1,77536,850,46.22,9489,1608662
2095,1,5,2,4,10,20.38,6,3.15,0.51,3.57,5,1,1,1,73143,19704,46.04,1251,2444050
1238,5,3,3,2,17,7.18,4,5.09,8.38,0.59,3,1,0,0,85951,10142,64.2,2917,3054806
2611,5,5,3,3,24,17.11,4,7.82,19.24,9.45,8,0,1,0,53792,2713,69.75,4610,3051252
3086,4,3,1,2,15,8.98,7,7.06,16.51,1.98,3,1,1,1,48647,19299,54.98,4115,2962432
2135,2,2,3,1,14,6.48,4,8.53,7.44,15.69,2,0,1,0,120171,18243,144.54,8901,2118692
3083,4,5,3,3,11,29.54,9,3.52,4.83,11.74,1,1,1,0,85860,11879,71.18,3863,3725648
1486,6,5,4,2,44,0.75,4,4.41,2.46,7.55,5,0,1,0,55311,15945,144.61,6621,3449238
2006,4,4,2,3,44,22.69,6,8.69,5.95,4.01,3,0,0,1,125393,8226,92.19,7240,2504619
1694,6,2,4,0,11,12.93,3,9.96,17.06,10.58,6,1,1,1,93680,19106,26.2,2621,2968977
991,2,3,4,0,28,22.47,5,4.25,11.43,18.67,5,1,0,1,35890,12004,132.76,4259,1833046
1929,3,3,3,4,31,23.35,8,9.01,7.93,6.09,3,0,1,1,102742,19231,72.62,2168,2407744
1827,3,2,3,2,41,9.1,5,6.45,8.21,17.81,6,1,1,0,44102,1256,36.26,4844,2028160
1155,2,2,4,0,6,2.38,8,5.94,1.01,8.24,2,0,1,0,31050,13274,60.22,5053,1976966
